"title","price","rating","review_count"
"Fossil Machine Stainless Steel Chronograph Unisex Black Dial Watch Fs4682Ie","14995.0","3.9","4194"
"Fossil Bannon Analog Stainless Steel Green Dial Silver Band Men's Watch-BQ2492","9995.0","4.2","389"
"Men Leather Analog Black Dial Watch-Fs5251Set, Band Color-Brown","10995.0","4.6","2316"
"Analog Brown Dial Men's Watch-ME3253","21995.0","4.6","4"
"Decker Brown Watch","5097.0","4.2","5672"
"Fossil Gen 6 Digital Black Dial Men's Watch-FTW4059","12498.0","3.7","2317"
"Stainless Steel Women Karli Rose Gold Dial Analog Watch Bq3181, Rose Gold Band","7197.0","4.5","3269"
"Fossil Stainless Steel Fenmore Analog Black Dial Men's Watch-Bq2365","8697.0","4.3","2946"
"Fossil Bannon Analog Stainless Steel Green Dial Silver Band Men's Watch-BQ2492","9995.0","4.2","389"
"Chronograph Rose Gold Dial Women Watch ES3352 Stainless Steel, Rose Gold Strap","7197.0","4.4","570"
"Fossil Gen 6 Digital Black Dial Men's Watch-FTW4061","11998.0","3.7","2317"
"Analog Black dial men Watch FS5164 Stainless Steel, Multicolor Strap","8997.0","4.4","2334"
"Fossil Men Stainless Steel Grant Chronograph Analog Black Dial Watch - Fs4832, Band Color-Black","8697.0","4.3","2946"
"Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap","14495.0","4.4","1910"
"Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401","14994.0","4.2","10502"
"Men Leather Analog Black Dial Watch-Fs5251Set, Band Color-Brown","10995.0","4.6","2316"
"Tillie Analog White Dial Women's Watch-BQ3497 Stainless Steel, Rose Gold Strap","7497.0","4.3","443"
"Fossil Sullivan Analog Black Dial Men's Leather Watch-BQ2457","8995.0","4.1","3768"
"Fossil Analog Off-White Dial Brown Band Men's Stainless Steel Watch-FS5380","12495.0","4.5","1298"
"Fossil Gen 6 Smartwatch Digital Black Dial Men's Watch-FTW4060","12498.0","3.7","2317"
"Fossil Men Leather Analog Black Dial Watch-Fs5447, Band Color-Black","9995.0","4.1","3768"
"Fossil Analog Off-White Dial Brown Band Men's Stainless Steel Watch-FS5380","12495.0","4.5","1298"
"Men Leather Analog Black Dial Watch-Np1865Nl01/Np1865Nl01, Band Color-Brown","3485.0","3.8","18"
"Amazfit GTR 4 New Smart Watch with 1.45” AMOLED Display, Bluetooth Calls, Zepp Aura, Heart Rate, Sleep, Stress, SpO2 Monitoring, Sports Watch with 150+ Sports Modes, GPS, Music Control, Alexa Built-in(Galaxy Black)","16999.0","0.0","0"
"Fossil Men Leather Machine Analog Black Dial Watch-Fs4656, Band Color-Brown","13495.0","4.0","668"
"Fossil Men Leather Bronson Analog Black Dial Watch-Me3219, Band Color-Brown","19995.0","3.7","39"
"Men Stainless Steel Defender Analog Black Dial Watch-Fs5973, Band Color-Silver","6748.0","3.0","1"
"Fossil Women Leather Analog Silver Dial Watch-Es4794, Band Color-Beige","5997.0","4.5","423"
"Fossil Fenmore Midsize Analog Black Dial Men's Watch-Bq2453 - Leather","8324.0","4.2","1651"
"Fossil Bannon Analog Gray Dial Men's Watch-BQ2491","10197.0","4.2","213"
"Analog Blue Dial Women's Watch-ES4274","9995.0","4.3","1004"
"Fossil Gen 6(44Mm, Brown Color) Mens Smartwatch With Amoled Screen, Alexa Built-In, Snapdragon 4100+ Wear Platform, Google Assistant, Spo2, Wellness Features And Smartphone Notifications - Ftw4062","11998.0","3.7","2317"
"Bannon Analog Black Dial Men's Watch-BQ2494","9857.0","4.2","77"
"Rye Analog Rose Gold Dial and Band Women's Stainless Steel Watch-BQ3691","8497.0","4.4","69"
"Fossil Heritage Analog Beige Dial Women's Watch-ME3228","9598.0","4.6","22"
"Analog Brown Dial Men's Leather Band Watch - ME3098","19995.0","3.8","1140"
"Defender Analog Black Dial Silver Band Men's Stainless Steel Watch-FS5976","5998.0","4.3","58"
"Fossil Gen 6 Display Wellness Edition Pink Smartwatch FTW4071","9598.0","3.7","2317"
"Men Leather Grant Sport Analog Blue Dial Watch-Fs5237, Band Color-Blue","7497.0","4.4","1871"
"Leather Analog Black Dial Men Watch-Fs5551, Brown Band","5997.0","4.5","369"
"Grant Analog Off-White Dial Men's Watch-ME3099","18995.0","4.4","981"
"Fossil Georgia Analog Grey Dial Women's Watch - ES3077","4998.0","4.3","4001"
"Fossil Leather Analog Blue Dial Men's Watch-Fs5661","5997.0","4.3","2395"
"Fossil Gen 6 Digital Black Dial Women's Watch-FTW6078","12498.0","3.7","2317"
"Fossil Jacqueline Analog Rose Gold Dial and Band Women's Stainless Steel Watch-ES3546","12495.0","4.3","4171"
"Fossil Men Silicone Machine Chronograph Black Dial Watch-Fs4487, Band Color-Black","13495.0","3.9","4194"
"Men's Leather Analog Blue Dial Watch-Bq2844","9447.0","5.0","1"
"Fossil Townsman Analog Grey Dial Men's Watch-Me3181 - Leather","19995.0","4.0","626"
"Townsman Analog Grey Dial Men's Leather Watch-Fs5522","9996.0","4.6","465"
"Machine Analog Black Dial Men's Watch-FS5970","7498.0","4.1","13"
"Kerrigan Analog Silver Dial Women's Watch-BQ3341","8157.0","4.5","179"
"Men Leather Analog Grant Brown Band Watch Fs5210, Band Color-Brown,Dial Color-Blue","7497.0","4.3","1077"
"Fossil Gen 6 Display Wellness Edition Blue Smartwatch FTW4070","9598.0","3.7","2317"
"Men Leather Analog Blue Dial Watch-Fs4835Ie, Band Color-Blue","12495.0","3.8","1642"
"Women Leather Jacqueline Analog White Dial Watch - Es3843, Band Color-Blue","9995.0","4.4","997"
"Mod Soph Analog Pink Dial Women's Watch-BQ1571","8157.0","4.3","37"
"Men's Timeless Style Analog Watch: Refined Black Dial and Metal Strap-1806NM01","3995.0","4.3","207"
"Men's Metropolitan Luxe: Multifunction dark grey Dial with Two-Tone Stainless Steel Bracelet Watch-NS1733KM01","5745.0","4.3","822"
"Men's Minimalist Zen Analog Black Watch: Sleek Leather Strap with Contrast Hands-NS1802SL11","3245.0","4.3","298"
"Quartz Analog with Date Blue Dial Stainless Steel Strap Watch for Men-NS1825KM01","3655.0","3.9","149"
"Townsman Analog Grey Dial Men's Leather Watch-Fs5522","9996.0","4.6","465"
"Men Leather Analog Blue Dial Watch-Fs4835Ie, Band Color-Blue","12495.0","3.8","1642"
"Fossil Bannon Analog Stainless Steel Green Dial Silver Band Men's Watch-BQ2492","9995.0","4.2","389"
"Fossil Men Leather Analog Black Dial Watch-Fs5447, Band Color-Black","9995.0","4.1","3768"
"Mod Soph Analog Pink Dial Women's Watch-BQ1571","8157.0","4.3","37"
"Townsman Auto Smoke Analog Men's Watch - ME3172 (Black Dial Grey Colored Strap)","19995.0","4.1","118"
"Fossil Townsman Analog Blue Dial Men's Leather Watch-ME3110","18995.0","4.3","1253"
"Fossil Leather Chronograph Blue Dial Men's Watch-Ch2564, Band Color:Black","8747.0","4.6","5847"
"Fossil Gen 6 Digital Black Dial Men's Watch-FTW4063","11998.0","3.7","2317"
"Everett Analog Gray Dial Men's Stainless Steel Watch-Me3206","21495.0","4.2","39"
"Grant Chronograph Beige Dial Men's Watch - FS4735","12494.0","4.2","251"
"Fossil Gen 6 Display Wellness Edition Black Smartwatch FTW4069","9598.0","3.7","2317"
"Fb-01 Analog Dial Women's Watch-CE1125","19995.0","4.4","85"
"Stainless Steel Analog Blue Dial Men's Watch-Bq2859","10147.0","0.0","0"
"Men Stainless Steel Heritage Analog Blue Dial Watch-Me3230, Band Color-Multicolor","9598.0","4.3","12"
"Fossil Modern Courier Stainless Steel Analog Women's Watch BQ3377 (Rose Gold Dial Rose Gold Colored Strap)","9857.0","4.3","2114"
"Fossil Women Stainless Steel Analog Silver Dial Watch-Es5314Set, Band Color-Rose Gold","8747.0","4.3","60"
"Fossil Unisex Analogue Watch Ring Rose Gold-Plated Es5247","9995.0","4.5","223"
"Fossil Stainless Steel Womens Raquel Analog Watch Ring Rose Gold Es5345, Band Color:Rose Gold","9995.0","5.0","11"
"Carlie Analog White Dial Women's Watch - ES4433","9494.0","4.4","916"
"Analog Silver Dial Men's Watch-ME3252 Stainless Steel, Silver Strap","21995.0","0.0","0"
"Quartz Chronograph Silver Dial Leather Strap Watch for Men-NS90146SL01","9545.0","4.3","36"
"Analog Brown Dial Men's Watch-ME3253","21995.0","4.6","4"
"Fossil Machine Stainless Steel Chronograph Unisex Black Dial Watch Fs4682Ie","14995.0","3.9","4194"
"Fossil Fenmore Analog Black Dial Men's Watch-BQ2366","9857.0","4.5","281"
"Fossil Scarlette Analog Rose Gold Dial Women's Watch-ES5258","13495.0","4.2","2008"
"Riley Analog Rose Gold Dial Women's Watch - ES2811","12495.0","4.2","6209"
"Bronson Analog Black Dial Men's Watch-FS5714","11481.0","4.1","68"
"Fossil Virginia Analog Gold Dial Women's Watch-ES3405","7197.0","4.5","2118"
"Machine Chronograph Analog Black Dial and Band Men's Stainless Steel Watch - FS4682","14995.0","3.6","308"
"Fossil Leather Harwell Analog Pink Dial Women's Watch-Es5265","6248.0","4.0","39"
"Nate Men's Watch with Oversized Chronograph Watch Dial and Stainless Steel or Leather Band","14494.0","4.0","7464"
"Fossil Raquel Analog Silver Dial Women's Stainless Steel Watch-ES5220","10995.0","4.5","337"
"Fossil Bronson Analog Black Dial Gray Band Men's Stainless Steel Watch-FS5852","14995.0","4.4","505"
"Silicone Analog Yellow Dial Men Watch-Fs6044, Black Band","14995.0","4.9","10"
"Analog Gold Dial Women's Watch-ES4628 Stainless Steel, Rose Gold Strap","12495.0","4.4","178"
